cappuccino_s,158,78,3.8,4.3,5.7,47,199,125,108,0,44,0.05,0.17,0.5,1,14,0,0.1
cappuccino_m,240,120,5.9,6.7,8.9,72,305,194,167,0,68,0.07,0.27,0.7,2,21,0,0.2
kafemoca_s,194,138,4.3,4.8,19.1,58,231,139,122,0.2,49,0.05,0.19,0.5,1,15,0.2,0.2
kafemoca_m,264,172,6,6.7,21.6,79,319,195,170,0.2,68,0.07,0.27,0.7,2,21,0.2,0.2
caramellate_s,194,138,4.3,4.8,19.1,61,221,140,122,0,50,0.05,0.19,0.5,1,15,0,0.2
caramellate_m,264,172,6,6.7,21.6,82,309,196,169,0,69,0.07,0.27,0.7,2,21,0,0.2
hottea_s,175,2,0.2,0,0.2,2,14,2,4,0,0,0,0.02,0.2,0,0,0,0
hottea_m,300,3,0.3,0,0.3,3,24,3,6,0,0,0,0.03,0.3,0,0,0,0
macshake_vannila_s,184,206,5.3,1.3,43.4,138,281,184,185,0,12,0.06,0.28,0.2,0,6,0.5,0.4
macshake_vannila_m,295,323,8.7,2.1,67.5,226,461,302,304,0,20,0.1,0.46,0.4,0,10,0.7,0.6
macshake_strawberry_s,184,209,5.3,1.3,44.1,142,284,184,186,0,12,0.06,0.28,0.2,0,6,0.5,0.4
macshake_strawberry_m,295,327,8.7,2.1,68.5,231,466,302,305,0,20,0.1,0.46,0.4,0,10,0.7,0.6
macshake_chocolate_s,184,212,5.9,1.5,44.5,189,351,188,202,1.2,12,0.06,0.28,0.3,0,6,1.1,0.5
macshake_chocolate_m,295,332,9.5,2.4,69,297,559,308,328,1.6,20,0.1,0.46,0.4,0,10,1.6,0.8
coffeefresh,5,11,0.2,1,0.2,10,0,0,7,0,0,0,0,0,0,0,0,0
sugar,3,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
liquidlemon,5,1,0,0,0.3,0,6,0,1,0,0,0,0,0,1,0,0,0
gumsyrop,10,27,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0
